S.No,Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
30,CCBD88,35.29,"1,135.00","1,135.00","1,135.00","1,135.00","1,135.00",0.00,0.00,"1,135.00",65.00,"1,135.00","73,775.00",1,0.00,0.00,0.00,0.00,0.00,"1,148.90","1,126.70","1,250.00","1,074.70"
31,CFCL,33.37,542.00,542.00,525.00,525.47,525.00,0.47,0.00,531.92,"12,759.00",531.56,"6,786,715.80",69,-6.09,17.00,-1.15,3.24,-1.23,561.32,581.55,820.00,457.70
32,CGH,24.80,"1,006.90","1,011.00",974.20,985.27,974.20,11.07,0.01,992.24,"51,755.00","1,003.49","51,353,174.90",377,-18.22,36.80,-1.82,3.78,-0.71,922.28,922.01,"1,325.00",842.10
33,CHCL,23.96,539.80,539.80,525.20,526.85,528.00,-1.15,0.00,529.80,"49,883.00",529.59,"26,428,228.70",354,-2.74,14.60,-0.52,2.78,-0.56,516.72,527.57,690.00,469.70
34,CHDC,25.18,"2,730.00","2,745.00","2,675.00","2,682.05","2,675.00",7.05,0.00,"2,695.78","23,279.00","2,722.41","62,755,150.70",348,-40.36,70.00,-1.48,2.62,-0.51,"2,522.40","2,244.29","2,997.90","1,538.60"
35,CHL,34.37,320.00,320.00,309.00,310.06,312.00,-1.94,-0.01,312.06,"11,137.00",315.28,"3,475,372.80",110,-5.22,11.00,-1.66,3.56,-0.64,409.33,412.67,599.70,276.00
36,CIT,26.27,"1,973.00","1,989.00","1,951.80","1,957.72","1,962.50",-4.78,0.00,"1,965.70","18,858.00","1,970.79","37,069,087.20",355,-13.07,37.20,-0.66,1.91,-0.41,"1,956.13","2,003.87","2,700.00","1,869.00"
37,CITY,38.40,962.00,963.00,940.00,961.15,961.90,-0.75,0.00,952.95,"101,105.00",943.21,"96,348,276.70","1,165",17.94,23.00,1.90,2.45,0.85,871.84,884.08,"1,139.30",732.90
38,CKHL,27.82,656.80,679.00,656.80,670.48,670.10,0.38,0.00,670.62,"3,159.00",668.82,"2,118,486.50",51,1.66,22.20,0.25,3.38,-0.02,699.73,716.41,910.00,590.00
39,CLI,24.28,485.50,499.80,485.00,486.85,485.10,1.75,0.00,489.72,"21,121.00",488.96,"10,343,416.30",462,-2.11,14.80,-0.43,3.05,-0.59,528.13,584.38,774.90,448.20
40,CMF2,33.30,9.90,10.09,9.90,9.91,9.91,0.00,0.00,10.06,"9,800.00",10.10,"98,600.00",9,-0.19,0.19,-1.88,1.92,-1.53,9.57,9.56,10.86,9.00
41,CORBL,31.32,"2,081.60","2,085.00","2,009.00","2,018.63","2,009.00",9.63,0.00,"2,039.35","4,850.00","2,040.81","9,890,860.60",141,-22.18,76.00,-1.09,3.78,-1.03,"2,162.64","1,987.59","2,842.30",660.10
42,CREST,30.48,"1,338.00","1,350.00","1,328.90","1,329.84","1,333.00",-3.16,0.00,"1,336.41","14,077.00","1,338.13","18,812,713.70",532,-8.29,21.10,-0.62,1.59,-0.49,0.00,0.00,"2,458.20",302.50
43,CYCL,29.98,"1,906.30","1,982.80","1,830.00","1,833.43","1,830.00",3.43,0.00,"1,876.78","7,008.00","1,945.14","13,152,500.30",226,-111.71,152.80,-5.74,8.35,-2.36,"1,687.93","1,676.77","2,040.00","1,448.00"
44,CZBIL,26.17,228.00,228.00,217.60,218.53,219.00,-0.47,0.00,220.18,"100,856.00",224.80,"22,206,213.70",337,-6.27,10.40,-2.79,4.78,-0.75,212.71,215.07,296.00,196.00
45,DDBL,29.14,927.00,944.00,909.50,911.40,919.00,-7.60,-0.01,921.70,"25,625.00",926.16,"23,618,594.50",170,-14.76,34.50,-1.59,3.79,-1.13,820.76,830.11,"1,099.00",759.00
46,DHPL,28.77,324.00,324.00,310.00,311.77,313.50,-1.73,-0.01,315.41,"25,828.00",320.52,"8,146,331.20",183,-8.75,14.00,-2.73,4.52,-1.17,353.67,335.34,427.20,213.10
47,DLBS,47.50,"1,602.00","1,634.00","1,522.00","1,559.72","1,578.00",-18.28,-0.01,"1,585.50","4,471.00","1,602.20","7,088,777.40",72,-42.48,112.00,-2.65,7.36,-1.65,"1,552.79","1,596.67","2,250.00","1,200.10"
48,DOLTI,25.15,565.60,599.90,565.60,576.09,573.40,2.69,0.00,584.73,"7,151.00",575.72,"4,181,435.90",132,0.37,34.30,0.06,6.06,-1.50,629.99,655.44,"1,017.00",452.50
49,DORDI,28.26,304.00,307.00,295.40,296.65,297.10,-0.45,0.00,300.32,"110,315.00",304.20,"33,130,067.00",657,-7.55,11.60,-2.48,3.93,-1.24,387.00,442.16,696.00,295.40
50,EBL,29.77,721.00,735.50,708.00,709.53,710.00,-0.47,0.00,715.77,"196,948.00",707.57,"140,969,023.30",887,1.96,27.50,0.28,3.88,-0.88,643.41,627.88,790.00,567.00
51,EBLD85,30.07,"1,110.00","1,110.00","1,110.00","1,110.00","1,110.00",0.00,0.00,"1,110.00",25.00,"1,118.00","27,750.00",1,-8.00,0.00,-0.72,0.00,0.00,"1,129.89","1,114.73","1,200.00","1,095.00"
52,EBLD86,34.17,"1,022.00","1,022.00","1,022.00","1,022.00","1,022.00",0.00,0.00,"1,022.00",25.00,"1,022.10","25,550.00",1,-0.10,0.00,-0.01,0.00,0.00,"1,044.76","1,034.85","1,080.00",995.00
53,EBLD91,39.08,"1,010.00","1,010.00","1,006.00","1,006.00","1,006.00",0.00,0.00,"1,007.28",80.00,"1,010.00","80,582.50",3,-4.00,4.00,-0.40,0.40,-0.13,0.00,0.00,"1,050.00",996.00
54,EDBL,25.91,653.90,653.90,628.00,629.37,628.10,1.27,0.00,635.25,"20,018.00",641.17,"12,716,413.10",83,-11.80,25.90,-1.84,4.12,-0.93,636.05,638.18,838.20,517.50
55,EHPL,30.01,620.00,644.00,605.20,615.89,624.00,-8.11,-0.01,619.53,"4,217.00",618.12,"2,612,575.20",75,-2.23,38.80,-0.36,6.41,-0.59,662.17,702.98,997.00,530.30
56,ENL,26.04,"1,058.00","1,072.00","1,058.00","1,070.35","1,071.00",-0.65,0.00,"1,064.45","2,671.00","1,057.64","2,843,142.00",59,12.71,14.00,1.20,1.32,0.55,"1,149.69","1,171.89","1,452.00","1,022.10"
