,,,,,,,,,,,,,,,,,,,,,,,
63,GFCL,21.84,684.00,685.00,675.00,684.02,684.00,0.02,0.00,682.73,"9,921.00",674.72,"6,773,401.60",97,9.30,10.00,1.38,1.48,0.19,675.28,732.67,"1,353.00",591.50
64,GHL,22.69,252.00,253.00,248.20,250.98,251.00,-0.02,0.00,251.03,"66,297.00",249.66,"16,642,382.10",277,1.32,4.80,0.53,1.93,-0.02,261.19,246.09,318.00,193.50
65,GIBF1,30.48,11.18,11.25,11.00,11.11,11.15,-0.04,0.00,11.15,"513,450.00",11.18,"5,723,195.20",41,-0.07,0.25,-0.63,2.27,-0.33,10.35,10.21,11.68,8.84
66,GILB,42.83,"1,380.00","1,420.00","1,380.00","1,413.40","1,419.90",-6.50,0.00,"1,404.52","21,952.00","1,379.54","30,831,987.20",255,33.86,40.00,2.45,2.90,0.63,"1,286.23","1,274.60","1,485.00","1,118.20"
67,GLBSL,44.55,"2,419.00","2,438.00","2,381.00","2,425.05","2,425.00",0.05,0.00,"2,412.68","9,549.00","2,371.71","23,038,686.20",253,53.34,57.00,2.25,2.39,0.51,"2,640.18","2,552.54","3,486.00","1,560.00"
68,GLH,23.87,272.00,278.00,272.00,276.32,276.00,0.32,0.00,275.24,"66,109.00",271.76,"18,196,086.80",343,4.56,6.00,1.68,2.21,0.39,263.32,259.64,336.00,223.80
69,GMFBS,35.84,"1,720.00","1,722.40","1,683.00","1,689.96","1,683.00",6.96,0.00,"1,702.96","2,332.00","1,688.69","3,971,298.00",50,1.27,39.40,0.08,2.34,-0.77,"1,637.73","1,681.75","1,980.00","1,397.00"
70,GMFIL,23.18,508.00,508.00,497.80,500.51,500.00,0.51,0.00,503.07,"11,749.00",498.18,"5,910,617.40",84,2.33,10.20,0.47,2.05,-0.51,504.95,532.24,759.00,436.50
71,GMLI,39.20,"2,060.00","2,161.30","2,040.00","2,101.68","2,097.90",3.78,0.00,"2,112.82","5,255.00","2,062.60","11,102,876.50",227,39.08,121.30,1.89,5.95,-0.53,"2,094.84",0.00,"2,778.00",301.00
72,GRDBL,25.24,"1,281.00","1,283.00","1,239.00","1,247.65","1,253.00",-5.35,0.00,"1,255.85","19,265.00","1,256.00","24,193,921.40",261,-8.35,44.00,-0.66,3.55,-0.66,"1,317.69","1,251.78","2,001.40",546.20
73,GSY,22.03,9.52,9.99,9.52,9.61,9.61,0.00,0.00,9.76,"4,760.00",9.63,"46,468.00",38,-0.02,0.47,-0.21,4.94,-1.58,0.00,0.00,10.30,8.80
74,GUFL,22.34,571.00,571.00,561.00,563.78,563.20,0.58,0.00,563.90,"5,854.00",559.87,"3,301,083.80",64,3.91,10.00,0.70,1.78,-0.02,577.66,616.68,"1,041.00",521.50
75,GVL,25.64,570.10,584.40,557.00,558.94,557.90,1.04,0.00,568.97,"214,560.00",567.09,"122,077,523.10",783,-8.15,27.40,-1.44,4.92,-1.79,487.46,509.05,662.00,424.00
76,H8020,28.40,11.45,11.78,11.45,11.77,11.60,0.17,0.01,11.74,"17,000.00",11.68,"199,602.00",26,0.09,0.33,0.77,2.88,0.24,10.80,10.55,12.06,9.54
77,HATHY,23.77,"1,230.00","1,265.00","1,230.00","1,248.05","1,245.00",3.05,0.00,"1,253.29","13,208.00","1,239.68","16,553,471.00",227,8.37,35.00,0.68,2.85,-0.42,"1,311.25","1,341.19","1,790.00","1,180.30"
78,HBL,22.77,233.00,233.00,228.00,228.44,228.00,0.44,0.00,228.89,"45,870.00",228.92,"10,499,181.20",234,-0.48,5.00,-0.21,2.19,-0.20,229.61,233.98,312.10,210.00
79,HDHPC,25.33,198.40,207.70,198.40,205.23,206.50,-1.27,-0.01,205.11,"191,045.00",202.40,"39,185,528.90",594,2.83,9.30,1.40,4.69,0.06,202.70,203.51,273.00,174.00
80,HDL,25.45,"1,355.00","1,385.00","1,340.20","1,373.93","1,376.00",-2.07,0.00,"1,368.37","109,838.00","1,340.33","150,299,326.30","1,112",33.60,44.80,2.51,3.34,0.40,"1,230.11","1,247.74","1,696.00","1,136.00"
81,HEI,25.40,580.10,585.10,578.00,583.92,584.00,-0.08,0.00,582.35,"17,563.00",582.44,"10,227,849.00",131,1.48,7.10,0.25,1.23,0.27,601.66,617.85,810.00,547.40
82,HEIP,21.01,378.00,380.00,372.50,372.50,372.50,0.00,0.00,378.56,"1,052.00",371.77,"398,250.00",7,0.73,7.50,0.20,2.01,-1.63,374.48,407.98,563.00,342.20
83,HHL,22.68,391.00,397.90,390.00,392.50,394.00,-1.50,0.00,392.81,"44,341.00",391.36,"17,417,727.60",321,1.14,7.90,0.29,2.03,-0.08,459.86,481.26,635.00,351.00
84,HIDCL,23.62,290.00,295.00,289.00,294.19,295.00,-0.81,0.00,292.32,"164,637.00",290.49,"48,126,666.10",640,3.70,6.00,1.27,2.08,0.64,292.41,279.16,360.00,225.40
85,HIDCLP,22.92,210.00,213.00,209.00,211.87,212.00,-0.13,0.00,211.66,"262,077.00",211.26,"55,471,095.40",473,0.61,4.00,0.29,1.91,0.10,199.38,189.73,239.00,109.80
86,HLBSL,31.07,"1,065.00","1,070.00","1,051.80","1,056.31","1,056.00",0.31,0.00,"1,060.41","7,690.00","1,053.30","8,154,550.70",114,3.01,18.20,0.29,1.73,-0.39,984.90,985.68,"1,158.20",817.00
87,HLI,24.78,410.00,416.30,405.30,414.06,415.00,-0.94,0.00,411.32,"93,264.00",406.08,"38,361,708.80",802,7.98,11.00,1.97,2.71,0.66,417.86,435.07,607.00,377.70
88,HPPL,23.85,505.00,510.00,502.20,504.70,504.50,0.20,0.00,504.82,"29,459.00",503.04,"14,871,596.80",190,1.66,7.80,0.33,1.55,-0.02,559.95,518.15,711.00,290.10
89,HRL,24.64,983.00,"1,028.00",983.00,"1,014.43","1,013.90",0.53,0.00,"1,015.81","229,247.00","1,002.92","232,871,921.20","1,907",11.51,45.00,1.15,4.58,-0.14,971.75,926.19,"1,156.00",746.20
90,HURJA,24.95,242.40,253.00,242.40,250.70,251.30,-0.60,0.00,250.23,"96,856.00",247.26,"24,236,273.50",284,3.44,10.60,1.39,4.37,0.19,251.93,247.01,291.70,198.00
91,ICFC,32.87,664.00,701.00,660.10,692.22,698.00,-5.78,-0.01,685.55,"72,045.00",662.87,"49,390,332.60",343,29.35,40.90,4.43,6.20,0.96,628.10,653.08,910.00,555.00
92,ICFCD88,29.04,"1,060.00","1,065.00","1,060.00","1,065.00","1,065.00",0.00,0.00,"1,061.71",75.00,"1,080.00","79,628.00",4,-15.00,5.00,-1.39,0.47,0.31,0.00,0.00,"1,125.00","1,000.00"
93,IGI,26.24,545.10,552.00,544.00,548.05,548.00,0.05,0.00,547.08,"25,858.00",545.31,"14,146,310.00",178,2.74,8.00,0.50,1.47,0.18,565.14,577.23,760.00,510.00
