SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
55,2025-05-22,"2,434.56","2,463.06","2,429.95",(-11.28),(-0.46 %),"3,975.49","2,112.44","138,289,609.60","253,164","1,911"
56,2025-05-21,"2,445.84","2,591.90","2,441.06",(-5.14),(-0.20 %),"3,975.49","2,112.44","259,384,076.10","470,229","3,596"
57,2025-05-20,"2,450.99","2,458.27","2,379.91",(58.57),(2.44 %),"3,975.49","2,112.44","145,849,799.60","271,857","2,066"
58,2025-05-19,"2,392.41","2,421.86","2,378.59",(16.67),(0.70 %),"3,975.49","2,112.44","101,630,577.50","191,249","1,550"
59,2025-05-18,"2,375.73","2,412.34","2,371.48",(-11.35),(-0.47 %),"3,975.49","2,103.75","114,455,824.60","213,547","1,672"
60,2025-05-15,"2,387.09","2,424.64","2,378.76",(-19.11),(-0.79 %),"3,975.49","2,103.75","117,132,200.70","220,321","1,901"
61,2025-05-14,"2,406.20","2,463.71","2,404.03",(-5.25),(-0.21 %),"3,975.49","2,103.75","159,312,069.40","294,459","2,383"
62,2025-05-13,"2,411.45","2,468.68","2,405.92",(-47.08),(-1.91 %),"3,975.49","2,103.75","164,829,794.70","304,031","2,533"
63,2025-05-11,"2,458.54","2,554.71","2,450.07",(-86.23),(-3.38 %),"3,975.49","2,103.75","215,294,792.40","385,296","3,419"
64,2025-05-08,"2,544.77","2,583.95","2,405.27",(104.93),(4.30 %),"3,975.49","2,103.75","516,289,291.80","905,933","6,944"
65,2025-05-07,"2,439.83","2,444.09","2,289.30",(126.68),(5.47 %),"3,975.49","2,080.38","287,717,401.90","551,942","4,385"
66,2025-05-06,"2,313.15","2,353.75","2,311.27",(-30.20),(-1.28 %),"3,975.49","2,080.38","158,920,094.40","305,717","2,578"
67,2025-05-05,"2,343.36","2,386.15","2,341.34",(-23.04),(-0.97 %),"3,975.49","2,080.38","163,666,538.00","313,470","2,470"
68,2025-05-04,"2,366.40","2,433.79","2,365.40",(-31.38),(-1.30 %),"3,975.49","2,080.38","172,924,710.80","329,022","2,698"
69,2025-04-30,"2,397.79","2,442.95","2,393.71",(-30.15),(-1.24 %),"3,975.49","2,080.38","170,519,880.30","326,721","2,580"
70,2025-04-29,"2,427.95","2,483.22","2,424.06",(-30.09),(-1.22 %),"3,975.49","2,080.38","118,644,863.50","220,917","1,855"
71,2025-04-28,"2,458.04","2,512.40","2,421.72",(34.00),(1.40 %),"3,975.49","2,080.38","243,227,328.90","443,240","3,113"
72,2025-04-27,"2,424.04","2,488.24","2,415.95",(-25.80),(-1.05 %),"3,975.49","2,054.15","223,945,489.90","428,040","3,192"
73,2025-04-24,"2,449.85","2,491.08","2,443.18",(-20.68),(-0.83 %),"3,975.49","1,991.62","216,450,236.80","419,985","3,364"
74,2025-04-23,"2,470.53","2,508.57","2,468.40",(-28.74),(-1.15 %),"3,975.49","1,991.62","161,889,197.31","299,571","2,320"
75,2025-04-22,"2,499.28","2,523.15","2,496.83",(-9.02),(-0.35 %),"3,975.49","1,943.99","158,855,276.40","290,689","2,087"
76,2025-04-21,"2,508.30","2,547.05","2,506.26",(-26.17),(-1.03 %),"3,975.49","1,943.99","179,498,828.10","318,012","2,603"
77,2025-04-20,"2,534.48","2,578.45","2,534.25",(-32.82),(-1.27 %),"3,975.49","1,943.99","132,253,272.10","234,188","1,842"
78,2025-04-17,"2,567.31","2,586.39","2,545.71",(18.45),(0.72 %),"3,975.49","1,943.99","242,473,303.10","425,505","2,902"
79,2025-04-16,"2,548.85","2,588.84","2,538.32",(-17.36),(-0.67 %),"3,975.49","1,943.99","125,781,170.20","223,140","1,663"
80,2025-04-15,"2,566.22","2,586.88","2,522.27",(40.36),(1.59 %),"3,975.49","1,943.99","180,420,439.50","312,160","2,065"
81,2025-04-13,"2,525.85","2,560.71","2,522.64",(-22.48),(-0.88 %),"3,975.49","1,943.99","136,206,291.90","246,909","1,909"
82,2025-04-10,"2,548.34","2,587.44","2,542.57",(-12.59),(-0.49 %),"3,975.49","1,943.99","126,934,157.30","226,642","1,849"
83,2025-04-09,"2,560.93","2,589.26","2,547.44",(8.75),(0.34 %),"3,975.49","1,943.99","122,888,595.70","219,522","1,884"
84,2025-04-08,"2,552.17","2,562.67","2,507.04",(15.29),(0.60 %),"3,975.49","1,943.99","152,408,310.90","274,239","2,366"
85,2025-04-07,"2,536.88","2,609.23","2,535.85",(-58.92),(-2.26 %),"3,975.49","1,897.60","193,770,248.60","341,024","2,898"
