SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
80,2025-04-15,"13,297.48","13,364.02","13,183.95",(107.18),(0.81 %),"14,838.88","9,750.86","370,775,475.60","395,209","4,948"
81,2025-04-13,"13,190.30","13,334.43","13,176.12",(-81.63),(-0.61 %),"14,838.88","9,750.86","352,769,111.80","400,744","5,049"
82,2025-04-10,"13,271.93","13,398.25","13,259.74",(-43.28),(-0.32 %),"14,838.88","9,750.86","377,382,647.90","372,219","4,144"
83,2025-04-09,"13,315.22","13,439.44","13,305.88",(29.63),(0.22 %),"14,838.88","9,750.86","256,493,969.20","312,026","3,871"
84,2025-04-08,"13,285.59","13,312.12","13,144.96",(-23.35),(-0.17 %),"14,838.88","9,750.86","349,584,076.10","402,845","4,731"
85,2025-04-07,"13,308.95","13,492.22","13,288.83",(-111.97),(-0.83 %),"14,838.88","9,750.86","412,627,454.00","462,838","5,713"
86,2025-04-03,"13,420.92","13,603.28","13,387.59",(-90.20),(-0.66 %),"14,838.88","9,750.86","503,624,900.00","614,699","6,005"
87,2025-04-02,"13,511.13","13,648.47","13,449.14",(34.74),(0.25 %),"14,838.88","9,750.86","330,018,140.30","365,493","4,913"
88,2025-04-01,"13,476.38","13,604.02","13,418.66",(-86.32),(-0.63 %),"14,838.88","9,750.86","451,088,289.10","502,739","5,537"
89,2025-03-30,"13,562.71","13,699.13","13,370.98",(114.33),(0.85 %),"14,838.88","9,750.86","604,861,066.74","777,152","7,278"
90,2025-03-27,"13,448.38","13,470.04","13,181.23",(226.72),(1.71 %),"14,838.88","9,750.86","394,527,350.70","536,718","5,537"
91,2025-03-26,"13,221.65","13,245.49","12,925.38",(267.90),(2.06 %),"14,838.88","9,750.86","437,569,412.00","454,757","5,152"
92,2025-03-25,"12,953.75","13,255.79","12,930.65",(-292.62),(-2.20 %),"14,838.88","9,750.86","354,377,012.20","500,902","5,617"
93,2025-03-24,"13,246.37","13,276.51","12,908.97",(191.23),(1.46 %),"14,838.88","9,750.86","388,642,179.70","522,974","6,598"
94,2025-03-23,"13,055.14","13,324.60","13,044.07",(-263.31),(-1.97 %),"14,838.88","9,750.86","418,283,055.28","608,599","7,437"
95,2025-03-20,"13,318.45","13,367.90","13,245.48",(-5.84),(-0.04 %),"14,838.88","9,750.86","365,581,065.90","460,789","7,507"
96,2025-03-19,"13,324.30","13,584.46","13,275.99",(-200.78),(-1.48 %),"14,838.88","9,750.86","477,434,618.20","643,062","7,104"
97,2025-03-18,"13,525.08","13,691.81","13,489.92",(-95.34),(-0.70 %),"14,838.88","9,750.86","463,904,370.00","570,527","6,880"
98,2025-03-17,"13,620.42","13,762.91","13,557.13",(-70.96),(-0.51 %),"14,838.88","9,750.86","489,793,577.70","612,463","8,743"
99,2025-03-16,"13,691.39","13,912.00","13,631.33",(-146.87),(-1.06 %),"14,838.88","9,750.86","599,362,448.30","729,957","15,383"
