SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
62,2025-05-13,111.26,112.88,111.21,(-0.88),(-0.79 %),122.74,72.74,"693,075,229.40","1,040,911","4,707"
63,2025-05-11,112.14,115.09,111.82,(-1.51),(-1.33 %),122.74,72.63,"803,051,456.50","1,265,702","4,419"
64,2025-05-08,113.66,115.52,113.15,(-0.04),(-0.04 %),122.74,72.46,"1,206,691,562.40","1,899,441","6,230"
65,2025-05-07,113.71,114.44,111.96,(0.92),(0.81 %),122.74,72.46,"845,010,738.40","1,399,797","4,838"
66,2025-05-06,112.78,114.14,112.62,(-0.46),(-0.41 %),122.74,72.46,"764,774,408.00","1,038,288","4,352"
67,2025-05-05,113.25,114.84,112.34,(-0.15),(-0.13 %),122.74,72.46,"907,374,031.40","1,291,593","5,016"
68,2025-05-04,113.41,115.77,113.27,(-0.98),(-0.86 %),122.74,72.46,"1,156,274,785.60","1,607,691","6,367"
69,2025-04-30,114.39,115.31,113.96,(-0.12),(-0.11 %),122.74,72.46,"930,561,738.80","1,460,684","5,451"
70,2025-04-29,114.52,116.51,114.34,(-0.96),(-0.83 %),122.74,72.46,"799,393,854.90","1,301,816","5,279"
71,2025-04-28,115.49,119.30,115.23,(-2.52),(-2.14 %),122.74,72.46,"1,120,133,941.80","2,204,777","7,209"
72,2025-04-27,118.02,118.70,115.79,(2.06),(1.77 %),122.74,72.46,"1,798,550,403.50","3,243,235","10,504"
73,2025-04-24,115.96,116.90,111.99,(2.81),(2.49 %),122.74,72.46,"1,318,758,270.00","2,128,135","7,203"
74,2025-04-23,113.14,115.17,112.44,(-2.03),(-1.76 %),122.74,72.46,"1,291,206,785.70","2,092,513","6,527"
75,2025-04-22,115.17,117.83,114.95,(-2.20),(-1.87 %),122.74,72.46,"935,294,771.50","1,756,261","6,125"
