SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
123,2025-02-05,152.81,153.72,152.41,(-0.28),(-0.18 %),177.64,113.28,"2,370,190,871.17","5,172,270","23,944"
124,2025-02-04,153.10,155.00,152.55,(-0.73),(-0.47 %),177.64,113.28,"2,586,645,055.30","5,141,790","24,845"
125,2025-02-03,153.83,156.32,153.20,(0.58),(0.38 %),177.64,113.28,"3,941,560,583.39","8,280,375","35,989"
126,2025-02-02,153.25,153.25,149.01,(4.58),(3.08 %),177.64,113.28,"3,627,858,838.10","8,052,491","36,741"
127,2025-01-28,148.66,148.79,147.29,(1.14),(0.77 %),177.64,113.28,"2,597,600,990.60","5,855,816","26,507"
128,2025-01-27,147.52,148.60,147.08,(-0.61),(-0.41 %),177.64,113.28,"2,016,290,070.90","4,216,604","20,619"
129,2025-01-26,148.13,149.47,147.82,(-0.88),(-0.59 %),177.64,113.28,"2,173,525,058.68","4,433,920","23,462"
130,2025-01-23,149.01,150.96,148.57,(-0.76),(-0.51 %),177.64,113.28,"2,132,557,176.92","4,752,460","23,826"
131,2025-01-22,149.78,150.10,147.15,(2.67),(1.82 %),177.64,113.28,"2,726,059,848.66","5,860,356","26,247"
132,2025-01-21,147.10,147.36,146.36,(0.21),(0.14 %),177.64,113.28,"1,503,503,560.70","3,169,744","18,094"
133,2025-01-20,146.88,147.92,146.58,(0.05),(0.03 %),177.64,113.28,"1,703,894,684.40","3,947,000","19,821"
134,2025-01-19,146.82,146.95,145.59,(0.72),(0.49 %),177.64,113.28,"1,595,989,385.36","3,455,272","19,014"
135,2025-01-16,146.10,147.73,145.65,(-0.93),(-0.63 %),177.64,113.28,"1,358,444,778.65","3,031,549","17,672"
136,2025-01-15,147.03,148.20,146.83,(-0.59),(-0.40 %),177.64,113.28,"1,396,843,166.90","2,924,823","16,139"
137,2025-01-13,147.63,148.55,147.02,(-0.72),(-0.48 %),177.64,113.28,"1,893,861,000.84","3,871,059","18,057"
138,2025-01-12,148.35,151.20,148.07,(-1.46),(-0.97 %),177.64,113.28,"1,050,385,512.40","2,153,065","12,654"
139,2025-01-09,149.81,150.53,149.16,(-0.61),(-0.40 %),177.64,113.28,"1,973,097,554.70","4,490,101","20,777"
140,2025-01-08,150.43,151.59,149.67,(0.34),(0.22 %),177.64,113.28,"1,582,254,109.90","3,261,613","18,186"
141,2025-01-07,150.08,150.93,149.24,(0.07),(0.05 %),177.64,113.28,"1,395,877,223.40","3,130,768","17,775"
142,2025-01-06,150.01,150.01,147.75,(2.25),(1.52 %),177.64,113.28,"2,006,653,418.50","4,408,774","20,938"
143,2025-01-05,147.75,148.21,147.35,(-0.24),(-0.16 %),177.64,113.28,"1,266,786,779.10","2,687,816","16,470"
144,2025-01-02,147.99,148.05,146.98,(0.15),(0.10 %),177.64,113.28,"1,228,247,029.10","2,575,258","14,777"
145,2025-01-01,147.83,148.67,147.52,(-0.17),(-0.12 %),177.64,113.28,"1,114,649,472.90","2,271,394","12,494"
146,2024-12-31,148.01,149.93,146.39,(-1.44),(-0.96 %),177.64,113.28,"1,578,532,281.10","3,575,709","20,276"
147,2024-12-29,149.46,151.24,149.10,(-0.84),(-0.56 %),177.64,113.28,"1,620,821,350.30","3,266,596","19,535"
148,2024-12-26,150.31,151.26,148.52,(0.73),(0.49 %),177.64,113.28,"1,381,057,320.30","3,252,644","17,835"
149,2024-12-24,149.57,150.59,148.52,(0.93),(0.62 %),177.64,113.28,"1,321,477,866.71","3,113,204","17,638"
150,2024-12-23,148.64,148.65,147.09,(1.19),(0.80 %),177.64,113.28,"1,133,016,832.55","2,653,762","14,869"
151,2024-12-22,147.45,149.48,146.98,(-1.09),(-0.73 %),177.64,113.28,"1,219,581,464.00","2,824,347","16,449"
152,2024-12-19,148.55,149.02,147.08,(-0.33),(-0.22 %),177.64,113.28,"1,437,284,476.99","3,404,497","17,481"
153,2024-12-18,148.88,150.50,148.46,(-0.42),(-0.28 %),177.64,113.28,"1,184,248,755.70","2,515,601","13,984"
