SN,Date,Close,High,Low,Absolute Change,Percentage Change,52 Weeks High,52 Weeks Low,Turnover Values,Turnover Volume,Total Transaction
79,2025-04-16,"1,367.12","1,382.95","1,362.11",(5.43),(0.39 %),"1,712.18","1,014.79","304,666,590.30","1,161,430","3,933"
80,2025-04-15,"1,361.68","1,378.84","1,356.46",(6.56),(0.48 %),"1,712.18","1,014.79","307,825,278.60","1,100,365","3,893"
81,2025-04-13,"1,355.12","1,365.33","1,352.93",(-2.90),(-0.21 %),"1,712.18","1,014.79","363,022,922.00","1,458,110","3,814"
82,2025-04-10,"1,358.03","1,373.44","1,356.68",(-1.28),(-0.09 %),"1,712.18","1,014.79","562,474,278.10","2,165,132","4,202"
83,2025-04-09,"1,359.31","1,381.19","1,356.48",(-0.52),(-0.03 %),"1,712.18","1,014.79","225,289,341.90","850,646","3,597"
84,2025-04-08,"1,359.83","1,368.11","1,343.69",(-4.17),(-0.30 %),"1,712.18","1,014.79","351,552,546.20","1,420,517","4,719"
85,2025-04-07,"1,364.00","1,388.60","1,362.00",(-13.42),(-0.97 %),"1,712.18","1,014.79","263,337,762.30","1,003,447","4,167"
86,2025-04-03,"1,377.43","1,401.54","1,361.88",(13.13),(0.96 %),"1,712.18","1,014.79","635,737,763.70","2,552,163","7,582"
87,2025-04-02,"1,364.29","1,380.56","1,353.25",(6.97),(0.51 %),"1,712.18","1,014.79","342,934,892.60","1,350,931","4,152"
88,2025-04-01,"1,357.32","1,372.09","1,351.75",(-10.15),(-0.74 %),"1,712.18","1,014.79","290,301,346.70","1,122,024","4,135"
89,2025-03-30,"1,367.47","1,380.07","1,354.52",(11.19),(0.82 %),"1,712.18","1,014.79","408,924,601.20","1,565,909","6,053"
90,2025-03-27,"1,356.27","1,370.74","1,342.36",(12.18),(0.90 %),"1,712.18","1,014.79","305,156,534.80","1,158,912","4,542"
91,2025-03-26,"1,344.09","1,345.81","1,326.48",(15.29),(1.15 %),"1,712.18","1,014.79","313,950,534.90","1,201,721","4,398"
92,2025-03-25,"1,328.80","1,360.28","1,326.81",(-19.16),(-1.42 %),"1,712.18","1,014.79","417,117,076.20","1,540,652","5,843"
93,2025-03-24,"1,347.97","1,350.84","1,325.45",(9.62),(0.71 %),"1,712.18","1,014.79","386,660,522.90","1,487,160","5,276"
94,2025-03-23,"1,338.34","1,364.81","1,337.50",(-21.18),(-1.55 %),"1,712.18","1,014.79","400,121,785.71","1,557,929","6,656"
95,2025-03-20,"1,359.53","1,368.70","1,358.72",(-6.57),(-0.48 %),"1,712.18","1,014.79","325,284,038.40","1,253,577","4,474"
96,2025-03-19,"1,366.10","1,378.59","1,365.48",(-7.71),(-0.56 %),"1,712.18","1,014.79","324,701,846.50","1,203,814","4,593"
97,2025-03-18,"1,373.82","1,394.25","1,369.40",(-2.01),(-0.14 %),"1,712.18","1,014.79","233,300,189.50","866,598","3,908"
98,2025-03-17,"1,375.83","1,391.42","1,369.85",(-2.95),(-0.21 %),"1,712.18","1,014.79","285,763,130.50","1,052,224","3,982"
99,2025-03-16,"1,378.79","1,392.72","1,370.44",(-11.18),(-0.80 %),"1,712.18","1,014.79","334,068,649.00","1,199,330","5,521"
100,2025-03-12,"1,389.97","1,397.10","1,381.14",(7.35),(0.53 %),"1,712.18","1,014.79","292,418,832.30","1,116,522","4,523"
101,2025-03-11,"1,382.62","1,400.24","1,379.17",(-9.72),(-0.69 %),"1,712.18","1,014.79","359,267,090.30","1,351,659","5,230"
102,2025-03-10,"1,392.35","1,411.29","1,385.51",(-6.16),(-0.44 %),"1,712.18","1,014.79","391,325,886.40","1,439,938","5,423"
103,2025-03-09,"1,398.51","1,421.89","1,395.72",(-19.38),(-1.36 %),"1,712.18","1,014.79","431,794,724.30","1,526,219","6,448"
104,2025-03-06,"1,417.90","1,424.64","1,411.39",(0.43),(0.03 %),"1,712.18","1,014.79","394,806,680.60","1,417,555","5,486"
105,2025-03-05,"1,417.46","1,439.90","1,411.62",(-14.89),(-1.04 %),"1,712.18","1,014.79","574,207,882.50","2,100,743","6,631"
106,2025-03-04,"1,432.36","1,453.93","1,428.38",(-15.32),(-1.05 %),"1,712.18","1,014.79","835,561,329.40","3,013,767","8,410"
107,2025-03-03,"1,447.69","1,485.86","1,444.74",(-19.94),(-1.35 %),"1,712.18","1,014.79","961,480,569.10","3,370,813","10,882"
108,2025-03-02,"1,467.64","1,467.64","1,440.02",(36.29),(2.53 %),"1,712.18","1,014.79","1,094,292,458.60","3,922,272","12,747"
109,2025-02-27,"1,431.34","1,459.76","1,409.80",(46.00),(3.32 %),"1,712.18","1,014.79","1,187,792,316.60","4,324,224","15,099"
110,2025-02-25,"1,385.34","1,398.26","1,382.11",(0.35),(0.02 %),"1,712.18","1,014.79","418,148,015.60","1,528,004","5,644"
111,2025-02-24,"1,384.98","1,403.00","1,375.98",(1.22),(0.08 %),"1,712.18","1,014.79","504,602,601.20","1,842,601","6,348"
112,2025-02-23,"1,383.75","1,395.99","1,353.85",(0.49),(0.03 %),"1,712.18","1,014.79","716,573,118.50","2,694,238","7,732"
113,2025-02-20,"1,383.26","1,399.28","1,379.70",(-7.71),(-0.55 %),"1,712.18","1,014.79","385,129,809.50","1,413,713","5,220"
114,2025-02-18,"1,390.98","1,409.12","1,384.69",(3.10),(0.22 %),"1,712.18","1,014.79","692,547,618.80","2,609,731","8,107"
115,2025-02-17,"1,387.87","1,395.23","1,360.75",(29.44),(2.16 %),"1,712.18","1,014.79","687,579,419.40","2,611,541","9,160"
116,2025-02-16,"1,358.42","1,359.89","1,344.00",(13.21),(0.98 %),"1,712.18","1,014.79","390,762,582.80","1,428,265","5,779"
117,2025-02-13,"1,345.21","1,353.34","1,342.98",(-3.11),(-0.23 %),"1,712.18","1,014.79","280,041,742.30","1,021,908","4,673"
118,2025-02-12,"1,348.32","1,357.84","1,343.42",(-0.79),(-0.05 %),"1,712.18","1,014.79","324,226,087.90","1,126,943","4,815"
119,2025-02-11,"1,349.11","1,359.59","1,347.13",(-2.79),(-0.20 %),"1,712.18","1,014.79","296,319,965.50","1,132,329","4,144"
120,2025-02-10,"1,351.91","1,362.16","1,346.67",(-2.39),(-0.17 %),"1,712.18","1,014.79","318,082,694.20","1,219,000","4,528"
121,2025-02-09,"1,354.30","1,370.11","1,349.71",(-4.83),(-0.35 %),"1,712.18","1,014.79","355,541,851.50","1,372,315","4,904"
122,2025-02-06,"1,359.14","1,374.09","1,355.79",(-4.74),(-0.34 %),"1,712.18","1,014.79","337,092,398.80","1,237,860","5,408"
123,2025-02-05,"1,363.89","1,372.48","1,361.06",(-3.65),(-0.26 %),"1,712.18","1,014.79","327,524,336.50","1,217,757","4,702"
124,2025-02-04,"1,367.54","1,389.61","1,364.62",(-7.86),(-0.57 %),"1,712.18","1,014.79","397,584,798.70","1,437,215","5,305"
125,2025-02-03,"1,375.40","1,400.63","1,369.73",(7.42),(0.54 %),"1,712.18","1,014.79","623,503,424.50","2,239,338","8,472"
126,2025-02-02,"1,367.97","1,367.98","1,335.55",(33.75),(2.52 %),"1,712.18","1,014.79","609,093,883.20","2,296,296","8,470"
127,2025-01-28,"1,334.22","1,338.73","1,326.19",(3.00),(0.22 %),"1,712.18","1,014.79","425,872,669.00","1,532,133","5,830"
128,2025-01-27,"1,331.22","1,345.18","1,327.63",(-7.49),(-0.55 %),"1,712.18","1,014.79","314,126,015.00","1,074,918","4,831"
129,2025-01-26,"1,338.71","1,356.00","1,335.71",(-12.02),(-0.89 %),"1,712.18","1,014.79","307,456,396.00","1,128,743","5,623"
130,2025-01-23,"1,350.74","1,374.39","1,347.15",(-8.41),(-0.61 %),"1,712.18","1,014.79","325,991,062.70","1,223,755","5,734"
131,2025-01-22,"1,359.15","1,366.40","1,337.06",(17.82),(1.32 %),"1,712.18","1,014.79","515,709,116.20","1,893,815","7,012"
132,2025-01-21,"1,341.32","1,351.15","1,337.03",(-4.78),(-0.35 %),"1,712.18","1,014.79","357,514,393.10","1,274,540","5,568"
133,2025-01-20,"1,346.11","1,365.80","1,345.03",(-2.80),(-0.20 %),"1,712.18","1,014.79","623,767,267.70","2,182,417","8,177"
134,2025-01-19,"1,348.91","1,349.55","1,335.88",(2.37),(0.17 %),"1,712.18","1,014.79","323,085,719.40","1,215,381","5,345"
135,2025-01-16,"1,346.54","1,362.08","1,341.41",(-10.17),(-0.74 %),"1,712.18","1,014.79","351,908,111.90","1,346,584","5,686"
136,2025-01-15,"1,356.71","1,367.26","1,354.02",(-11.08),(-0.81 %),"1,712.18","1,014.79","292,955,453.70","1,063,767","5,128"
137,2025-01-13,"1,367.80","1,376.15","1,360.93",(-4.81),(-0.35 %),"1,712.18","1,014.79","447,360,069.59","1,615,062","6,129"
138,2025-01-12,"1,372.62","1,395.86","1,368.71",(-11.98),(-0.86 %),"1,712.18","1,014.79","186,877,621.50","649,688","3,305"
139,2025-01-09,"1,384.60","1,393.27","1,379.47",(-6.00),(-0.43 %),"1,712.18","1,014.79","410,562,327.60","1,412,055","5,501"
140,2025-01-08,"1,390.61","1,410.98","1,387.00",(-3.66),(-0.26 %),"1,712.18","1,014.79","396,906,478.10","1,457,307","4,785"
141,2025-01-07,"1,394.28","1,408.21","1,388.50",(-3.02),(-0.21 %),"1,712.18","1,014.79","314,572,550.20","1,106,786","4,522"
142,2025-01-06,"1,397.30","1,399.00","1,380.27",(15.16),(1.09 %),"1,712.18","1,014.79","465,866,535.00","1,650,515","5,572"
143,2025-01-05,"1,382.14","1,390.87","1,378.54",(-7.71),(-0.55 %),"1,712.18","1,014.79","427,110,145.30","1,558,397","5,147"
144,2025-01-02,"1,389.85","1,396.38","1,383.13",(-2.05),(-0.14 %),"1,712.18","1,014.79","315,380,285.60","1,191,269","4,502"
145,2025-01-01,"1,391.90","1,403.10","1,390.91",(-10.42),(-0.74 %),"1,712.18","1,014.79","344,254,481.10","1,269,820","4,541"
146,2024-12-31,"1,402.33","1,424.73","1,386.67",(-13.09),(-0.92 %),"1,712.18","1,014.79","763,306,697.40","2,975,975","7,587"
147,2024-12-29,"1,415.43","1,440.13","1,412.93",(-12.48),(-0.87 %),"1,712.18","1,014.79","721,335,069.90","2,764,449","7,987"
148,2024-12-26,"1,427.91","1,441.01","1,391.22",(25.46),(1.81 %),"1,712.18","1,014.79","1,229,555,332.20","4,759,094","12,431"
149,2024-12-24,"1,402.44","1,409.39","1,386.97",(10.61),(0.76 %),"1,712.18","1,014.79","389,007,534.90","1,453,944","5,690"
150,2024-12-23,"1,391.83","1,391.83","1,373.76",(11.71),(0.84 %),"1,712.18","1,014.79","379,445,361.45","1,284,094","5,189"
151,2024-12-22,"1,380.11","1,401.97","1,374.73",(-12.19),(-0.87 %),"1,712.18","1,014.79","377,853,780.65","1,316,414","5,826"
152,2024-12-19,"1,392.31","1,407.85","1,390.32",(-11.52),(-0.82 %),"1,712.18","1,014.79","389,769,697.20","1,322,181","5,467"
153,2024-12-18,"1,403.83","1,419.28","1,399.17",(-5.12),(-0.36 %),"1,712.18","1,014.79","304,681,277.80","1,026,640","4,514"
154,2024-12-17,"1,408.96","1,421.80","1,395.95",(2.45),(0.17 %),"1,712.18","1,014.79","308,713,012.90","1,068,705","4,781"
155,2024-12-16,"1,406.50","1,429.27","1,402.44",(-21.32),(-1.49 %),"1,712.18","1,014.79","385,584,028.80","1,372,684","5,843"
156,2024-12-12,"1,427.83","1,478.35","1,422.63",(-25.00),(-1.72 %),"1,712.18","1,014.79","423,913,157.60","1,483,131","6,068"
157,2024-12-11,"1,452.83","1,452.83","1,397.38",(48.20),(3.43 %),"1,712.18","1,014.79","519,868,152.50","1,835,145","7,412"
158,2024-12-10,"1,404.63","1,418.98","1,398.83",(-2.22),(-0.15 %),"1,712.18","1,014.79","413,473,229.80","1,294,918","5,070"
159,2024-12-09,"1,406.85","1,423.16","1,399.01",(-6.58),(-0.46 %),"1,712.18","1,014.79","363,401,581.20","1,293,781","5,899"
160,2024-12-08,"1,413.44","1,440.26","1,407.18",(-26.82),(-1.86 %),"1,712.18","1,014.79","641,337,132.90","2,303,104","8,466"
